type,text
本文,地階への狭い入口がぽかりと開いてるのを見定めて、よろよろと降りていった。
本文,幾つかの店に区切られてるその一番奥に、壁に沿って白木の卓が並んでる飲屋があった。
本文,端っこの隅の卓で、丸田が日本酒を飲んでいた。
本文,石村証券の社員である。
本文,青木はその前に行って佇んだ。
本文,「あ、いらっしゃい。
本文,ここでよく逢いますなあ。」
本文,青木は黙って彼の顔を見ていた。
本文,「どうかなすったのか。
本文,顔色がよくありませんぜ。」
本文,青木は薄笑いを浮べて、腰を下した。
本文,差された杯を受けながら、丸田の顔をつくづくと見た。
本文,「あんたは会計の方の係りだから、知ってるでしょうが、石村証券の経営状態は、今のところ、どうなっていますか。」
本文,「赤字ですなあ。」
本文,「それじゃあ、退職金も出せませんか。」
本文,五十過ぎた律儀な丸田は、妙な顔をして青木を眺めた。
本文,「退職金について、石村さんは約束したことがありますね。」
本文,それは事実だった。
本文,石村商事を石村証券に切り換える時のことだった。
本文,どうせ当分は仕事もあまりあるまいが、諸君の生活は僕が保証する、と石村は社員たちに誓った。
本文,そして退職金については、一年間の勤務につき一ヶ月分の給与の割合で出すから、黙って仕事をしていてくれ、と約束したのである。
本文,丸田はなだめるように言った。
本文,「会社の方はだめですが、心配はいりませんよ。
本文,私にはよく分りませんが、商事時代にたくさん儲けていますし、石村さんの資産は相当なものだと思われるふしがあります。
本文,社員の退職金なんか問題じゃないでしょう。」
本文,青木はもう外のことを考えて黙っていた。
本文,「何を考え込んでいますか。
本文,景気よくやりましょうや。」
本文,丸田は酒を誂えて、青木にもすすめた。
本文,「いったい、何が問題なんです。」
本文,間を置いてだったので、丸田は眼を丸くした。
本文,「石村さんにとって、何が問題なんですか。」
本文,「そんなことは私には分りませんね。」
本文,「万里の長城です。
本文,日本に万里の長城を築こうというんです。
本文,だから、ばかげてるじゃありませんか。
本文,それを誰が言い出したかと言えば、この私です。
本文,だから、ばかげてるじゃありませんか。
本文,それもこれも、みな酒のせいです。
本文,だから、ばかげてるじゃありませんか。」
本文,丸田は怪訝な面持ちで黙っていた。
本文,「いったい、ひとをやたらに疑ったり、ひとをやたらに信じたりするのが、間違いの元です。
本文,だから、何でもないことがスパイに見えたり、何でもないことがスパイのスパイに見えたり、大間違いの結果になります。
本文,ばかげてるじゃありませんか。
本文,私は断然嫌ですね。
本文,みな酒のせいです。
本文,だから、私は酒をやめますよ。」
本文,そして青木は立て続けに酒を飲んだ。
本文,「まったく、今日はあんたはどうかしていますね。」
本文,覗き込んでくる丸田の顔を、青木は眼を大きくして眺めた。
本文,「あ、丸田さんでしたか。」
本文,「これは、御挨拶ですね。
本文,今迄誰と話をしていなすったつもりですか。」
本文,「え、何か言いましたか。
本文,聞き流しておいて下さい。
本文,少し気持ちが悪くなったんです。
本文,ここは地下室でしょう。
本文,だから、掘割の水面より低いんですよ、汚い溝の水より低いんですよ。
本文,だから、むかむかするんで……。」
本文,青木は卓にしがみつき、上体を傾けて、胃袋の中のものをげっげっと吐き出した。
本文,深夜、青木は泥酔してアパートに帰った。
本文,だが、泥酔してるのは体だけで、頭はへんに冴えてる気持ちだった。
本文,妻の登志子はもう眠っていたが、起き上って来た。
本文,青木は和服に着換えると、不機嫌そうに叱りつけた。
本文,「もう起きなくても宜しい。
本文,早く眠ってしまうんだ。
本文,僕は大事な仕事があるから、それを片附けてから寝る。
本文,うるさいから、起きてはいかん。」
本文,茶の間をはさんで、一方が寝室、一方が四畳半の仕事部屋になっていた。
本文,青木は冷えた番茶をやたらに飲んで、仕事部屋にはいって寝転んだ。
本文,或る種の蜘蛛や甲虫のことを、彼は頭裡に浮べていた。
本文,それらの虫は、大敵が身辺に迫ってくるのを感ずると、頭をすくめ足を縮めて、死んだ風を装うのである。
本文,人が指先で突っついても、そうする。
本文,そしてずいぶん長い間じっとしている。
本文,引っくり返しても、身動きもせずに死んだ真似をしている。
本文,敵が遠ざかったと感じてから漸く、這って逃げ出すのだ。
本文,そんなものをどうして思い浮べたのか、彼自身にも分らなかった。
本文,そして一方では、胸の中で繰り返していた。
本文,「ひと一人を殺すんだ。
本文,多少の出血は止むを得ぬ。
本文,多少の出血は止むを得ぬ。」
本文,可なりの長い間、彼はそうしていた。
本文,それから起き上った。
本文,足音をぬすみ物音をぬすんで、道具立てをした。
本文,鋭いナイフ……安全剃刀の刄……アドルムの錠剤……オキシフル……絆創膏……繃帯……。
本文,それらのものを室の卓上に揃えた。
本文,薬缶に湯を沸かし、洗面器でぬるま湯にして、運んで来た。
本文,座布団を二つに折って枕とし、仰向きに寝そべって、褞袍を胸元までかけ、左手の肱に書物をあてがい、手先が洗面器に浸るようにした。
本文,つまり、手首の動脈を切断して、微温湯の中に出血を続けさせ、安楽な死に方をしようというのである。
本文,彼は暫くの間、寝たまま眼をつぶっていた。
本文,それから身を起して、安全剃刀の刄を取った。
本文,勿論、アドルムを服用したりナイフを使ったりする必要はなかった。
本文,再び元のように寝て、用心しながら左手首に形ばかりの傷をつけた。
本文,ずきりとしただけで、殆んど痛みは感じなかった。
本文,細い静脈が切れて、血が流れだしてきた。
本文,その手首を洗面器の中に浸して、眼をつぶった。
本文,「ひと一人を殺すんだ。
本文,多少の出血は止むを得ぬ。
本文,多少の出血は止むを得ぬ。」
本文,時間をはかっていると、思わぬ時に、襖がすーっと開いて、登志子が顔を出した。
本文,幽鬼のような気がして、青木は全身ぞっとし、髪の毛が逆立った。
本文,青木は飛び起きてそこに坐り、卓上の品々を体で隠すようにした。
本文,もうその時には、寝間着に褞袍をはおった登志子が、彼に取縋っていた。
本文,「あなた、なにをなすってるの。
本文,あなた……。」
本文,青木は黙って彼女を押しのけた。
本文,それから落着いて、手首を洗い、オキシフルをふりかけ、絆創膏をはり、繃帯を巻き、その端を登志子に結わかせた。
本文,登志子は真蒼な顔をして、口も利けないほど怯えていた。
本文,「ばか、なぜ起きて来たんだ。」
本文,彼女に見られたのが、青木にはひどく不満だった。
本文,洗面器の微温湯の中には、薄く血の糸が引いていた。
本文,それをじっと見やって、青木は漸く心が和やいだ。
本文,彼は突然言った。
本文,「お前は、僕みたいな酒喰いが、好きか嫌いか。」
本文,登志子は静かに頭を振ってみせた。
本文,ふっくらとした頬に寝乱れた髪の毛が幾筋か垂れ、切れの長い眼がもう笑ってるように見えた。
本文,「よろしい。
本文,今のは単にお芝居さ。
本文,然し、道具立てがなければ、本当の決心はなかなかつかない。
本文,僕は酔いどれの僕自身を殺してやったんだ。」
本文,ところが、その喜劇のおかげで、青木は風邪をひいて、二日間寝込んだ。
本文,風邪がなおってから、青木は石村証券へ出かけて行った。
本文,途中で鮨屋に寄って、酒を飲み、昼食をした。
本文,もっとも、酔うほどは飲まず、ただ決心を堅めるために過ぎなかった。
本文,階段を昇ってゆき、廊下を一曲りすると、磨硝子に石村証券という金字が浮き出してる扉があった。
本文,その前を青木は通りすぎて、次の扉の方へ行った。
本文,その扉には、石村という金字がはいっていた。
本文,青木は小首を傾げた。
本文,三日前には無かった文字である。
本文,ちょっと佇んでから、彼はノックした。
本文,女秘書の小島が扉を開いた。
本文,青木の姿を見て、おや、という表情をした。
本文,青木は構わず言った。
本文,「石村さんはおいでですか。」
本文,「はい、おいでになります。」
本文,「来客ですか。」
本文,「いいえ。」
本文,「それでは、取次いで下さい。」
本文,青木は中にはいって待った。
本文,やがて、小島に案内されて、社長室に通った。
本文,石村は窓際の事務机の上を何か片附けて、立ち上った。
本文,「どうしたんだ。
本文,あちらからはいればいいじゃないか。」
本文,「いえ、今日は、会社に来たのではなく、あなたにお目にかかりに来たのです。」
本文,石村はじっと青木の顔を見つめた。
本文,「扉にお名前がはいりましたね。」
本文,「うむ、いろいろ客が多いものだからね。
本文,まあ掛け給え。」
本文,それだけの応対が、青木にしては実は強硬な態度に出たつもりだったが、少しも手応えがなく、自分の方が滑稽にさえ思えてきた。
本文,彼はいきなり内ポケットから辞職願を取出して、石村に差出し、それから椅子に掛けた。
本文,石村は紙片を一読して、相手の顔にぴたりと吸いつくような視線を投げた。
本文,「よろしい。
本文,願いとあれば、叶えてあげよう。
本文,だが、一身上の都合というのは、どういうことかね。」
本文,「まあ私の、心情に関することと申した方が正しいでしょうか。
本文,つまり、平静な心境に自分を置きたいのです。」
本文,「すると、なにかね、この会社にいては、心境が乱されるとでもいうのかね。」
本文,「そういうわけではありませんが、どうも私は我儘で、あなたの意向にも添いかねることがあるでしょうし、また酒飲みで、ふしだらなことを仕出かしそうです。
本文,そのようなことが重なったら、あなたはきっと私を馘首なさるでしょう。」
本文,石村は笑った。
本文,「まあそうだろうね。」
本文,「だから私は、いつ首になるかと、始終びくびくしていなければなりません。」
本文,「よく分った。
本文,そう遠廻しに言わなくてもよかろうじゃないか。
本文,上海以来の知り合いだし、この会社でも六年になる。
本文,直接の理由は、先日のことだね。
本文,今西の一件、情報云々のこと、あれだね。」
本文,青木は黙っていた。
本文,「君がそうこだわるなら、君の気の済むようにしたがよかろう。
本文,僕にしても、一旦言い出したことを引っ込めるわけにはいかないからね。」
本文,「私はスパイ根性が大嫌いです。
本文,スパイのまたスパイ、そんなものには虫唾が走るんです。」
本文,「現在の君としては、そうだろうね。」
本文,青木は眉根を寄せた。
本文,なんだか予期に反するのだった。
本文,話があまり通じすぎるのである。
本文,石村は静かに言った。
本文,「君も変ったねえ。」
本文,青木は石村の眼を見た。
本文,「つまり、なんというか、インテリになったということだよ。
本文,時勢が変り、緊迫が次第に激しくなると、僕も変った。
本文,君と反対に、次第に野蛮になってゆくよ。
本文,どうも、君と僕とは反対の方向に歩いてるようなものだね。」
本文,青木はまた眉根を寄せた。
本文,話があまり通じすぎるのだった。
本文,ふと、疑念が湧いた。
本文,「私があのようなふしだらをしたから、退職の口実を造ってやるために、冗談を仰言ったのではありますまいね。」
本文,「冗談というと……。」
本文,「スパイ云々、情報云々……あのことです。」
本文,「違う。
本文,絶対にそんなことはない。
本文,その証拠には、君に約束しよう。
本文,いつでもまた復職したかったら、やって来給え。
本文,その代り、君の方からやって来ない限り、僕の方からは手を差伸べないからね。
本文,その点ははっきりしておこう。」
本文,「よく分りました。」
本文,もう言うべきことはなかった。
本文,石村は辞職願を仕事机の抽出しに納めた。
本文,青木は暫く考えてから、切り出した。
本文,「お願いしたいことが、二つあります」
本文,「ああ。
本文,遠慮なく言ってくれ。」
本文,「あの、今西巻子は、共産党員でもシンパでもありません。
本文,ましてスパイではありません。
本文,このこと、了解して頂けましょうか。」
本文,「君はそう信ずるかね。」
本文,「ええ、信じます。」
本文,「それでは、僕も君の言葉を信ずるとしよう。
本文,ところで、君はあの女を愛してるのかね。」
本文,「そんなことはありません。
本文,酒の上の過ちです。
本文,私には妻があります。」
本文,「だが、あの女はどうも、君の側の陣営の者で、僕の側の陣営の者ではなさそうだね。」
本文,「それは、私にはむしろ逆ではないかと思われますが……。」
本文,石村は首をひねった。
本文,その時、青木ははっきり気附いた。
本文,今西巻子に事よせて、二人ははっきり絶縁したのだった。
本文,気持ちに何の後腐れもなくさっぱりとした。
本文,「最後のお願いですが、お約束通りの退職金を、今日頂けますまいか。」
本文,「ばかに気が早いね。
本文,惜別の宴でも、一夕、社員たちと一緒に設けたいんだが、どうかね。」
本文,「そのようなこと、気が進みません。」
本文,「いやにはっきりしてるじゃないか。」
本文,石村は仕事机の方へ行って、何か帳簿を調べ、それから小島を呼んで、丸田の方へ紙片を持たせてやった。
本文,暫くして、丸田がやって来、青木を見ると、びっくりしたように佇んだが、石村へ封筒を差出し、青木へは会釈しただけで出て行った。
本文,石村は青木の前へ戻って来た。
本文,「では、これは今月分の手当。
本文,これは退職金。
本文,退職金の方は小切手になってるが、いいだろうね。
本文,調べてみてくれ。」
本文,青木は金を調べ、前に置かれてる受領書へ捺印した。
本文,石村は仕事机から戻ってきてから、まだ突っ立ったままだった。
本文,青木は金を納めてから立ち上った。
本文,「長々お世話になりました。」
本文,「いや、御苦労さまだった。」
本文,石村が手を差出したので、青木はその手を握った。
