type,text
本文,自分でも、納得してそれを受け入れることができるわ。
本文,……私、それ以外に、あなたの希望どおりの女、もう二度とあなたに逢おうとしない女になんて、なれる自信がなかったのよ。
本文,……たぶん、あなたに逢ってしまえばもう私はダメ。
本文,私は敗け、またもとのモクアミになってしまう、そう思ったからこそ、さきにテープをとどけさせておいたの。
本文,やはり、私は正しかったわ。
本文,もしそうしておかなかったら、きっといまごろはテープは全部あなたに取り上げられ、そして、こんどはどうしたらあなたに逢うことができるか、私、そればかりを必死で考えつづけてるわ。
本文,……でも、これでもうお終い。
本文,さよなら。
本文,坊や」
本文,彼女は、グラスに最後のコニャックを注いだ。
本文,喉を仰向けてそれを一息に飲むと、まるであらゆる生命を生き終えた人間のように、深ぶかとソファに沈み、目をつぶった。
本文,しばらくして、電話のベルが鳴りはじめた。
本文,が、彼女は身じろぎも見せなかった。
本文,日が落ち薄暗くなった部屋の中で、やがて、眠ったようなしずかなその表情が動いた。
本文,それは、小さな欠伸だった。
